time_iso8601,forks_cumulative
2023-04-09 00:00:00+00:00,404
2023-04-10 00:00:00+00:00,405
2023-04-12 00:00:00+00:00,407
2023-04-13 00:00:00+00:00,408
2023-04-14 00:00:00+00:00,410
2023-04-16 00:00:00+00:00,411
2023-04-17 00:00:00+00:00,412
2023-04-19 00:00:00+00:00,413
2023-04-20 00:00:00+00:00,415
2023-04-24 00:00:00+00:00,416
2023-04-25 00:00:00+00:00,417
2023-05-02 00:00:00+00:00,418
2023-05-04 00:00:00+00:00,420
2023-05-05 00:00:00+00:00,421
2023-05-08 00:00:00+00:00,426
2023-05-13 00:00:00+00:00,428
2023-05-15 00:00:00+00:00,430
2023-05-16 00:00:00+00:00,431
2023-05-18 00:00:00+00:00,433
2023-05-21 00:00:00+00:00,434
2023-05-23 00:00:00+00:00,436
2023-05-25 00:00:00+00:00,437
2023-05-26 00:00:00+00:00,438
2023-05-29 00:00:00+00:00,439
2023-05-30 00:00:00+00:00,440
2023-05-31 00:00:00+00:00,441
2023-06-01 00:00:00+00:00,442
2023-06-02 00:00:00+00:00,443
2023-06-03 00:00:00+00:00,444
2023-06-04 00:00:00+00:00,445
2023-06-07 00:00:00+00:00,446
2023-06-13 00:00:00+00:00,447
2023-06-14 00:00:00+00:00,448
2023-06-18 00:00:00+00:00,449
2023-06-19 00:00:00+00:00,451
2023-06-22 00:00:00+00:00,452
2023-06-26 00:00:00+00:00,453
2023-06-28 00:00:00+00:00,455
2023-06-29 00:00:00+00:00,457
2023-07-01 00:00:00+00:00,460
2023-07-05 00:00:00+00:00,462
2023-07-06 00:00:00+00:00,463
2023-07-07 00:00:00+00:00,464
2023-07-08 00:00:00+00:00,467
2023-07-09 00:00:00+00:00,468
2023-07-10 00:00:00+00:00,469
2023-07-11 00:00:00+00:00,470
2023-07-12 00:00:00+00:00,473
2023-07-13 00:00:00+00:00,474
2023-07-15 00:00:00+00:00,475
2023-07-16 00:00:00+00:00,476
2023-07-17 00:00:00+00:00,478
2023-07-19 00:00:00+00:00,479
2023-07-21 00:00:00+00:00,480
2023-07-25 00:00:00+00:00,481
2023-07-27 00:00:00+00:00,482
2023-07-28 00:00:00+00:00,483
2023-08-02 00:00:00+00:00,485
2023-08-03 00:00:00+00:00,486
2023-08-05 00:00:00+00:00,487
2023-08-07 00:00:00+00:00,488
2023-08-08 00:00:00+00:00,489
2023-08-09 00:00:00+00:00,490
2023-08-12 00:00:00+00:00,492
2023-08-15 00:00:00+00:00,493
2023-08-18 00:00:00+00:00,494
2023-08-20 00:00:00+00:00,495
2023-08-25 00:00:00+00:00,496
2023-09-04 00:00:00+00:00,497
2023-09-07 00:00:00+00:00,498
2023-09-09 00:00:00+00:00,499
2023-09-11 00:00:00+00:00,500
2023-09-18 00:00:00+00:00,501
2023-09-20 00:00:00+00:00,502
2023-09-21 00:00:00+00:00,503
2023-09-22 00:00:00+00:00,505
2023-09-25 00:00:00+00:00,506
2023-09-27 00:00:00+00:00,507
2023-09-28 00:00:00+00:00,508
2023-09-29 00:00:00+00:00,509
2023-10-03 00:00:00+00:00,512
2023-10-05 00:00:00+00:00,513
2023-10-06 00:00:00+00:00,514
2023-10-08 00:00:00+00:00,515
2023-10-09 00:00:00+00:00,516
2023-10-10 00:00:00+00:00,518
2023-10-11 00:00:00+00:00,519
2023-10-13 00:00:00+00:00,522
2023-10-15 00:00:00+00:00,523
2023-10-16 00:00:00+00:00,524
2023-10-17 00:00:00+00:00,525
2023-10-18 00:00:00+00:00,527
2023-10-19 00:00:00+00:00,528
2023-10-20 00:00:00+00:00,530
2023-10-22 00:00:00+00:00,531
2023-10-23 00:00:00+00:00,532
2023-10-24 00:00:00+00:00,534
2023-10-26 00:00:00+00:00,535
2023-10-31 00:00:00+00:00,536
2023-11-02 00:00:00+00:00,537
2023-11-03 00:00:00+00:00,538
2023-11-07 00:00:00+00:00,539
2023-11-08 00:00:00+00:00,540
2023-11-09 00:00:00+00:00,541
2023-11-10 00:00:00+00:00,542
2023-11-12 00:00:00+00:00,543
2023-11-13 00:00:00+00:00,544
2023-11-14 00:00:00+00:00,545
2023-11-15 00:00:00+00:00,547
2023-11-22 00:00:00+00:00,548
2023-11-30 00:00:00+00:00,549
2023-12-01 00:00:00+00:00,550
2023-12-04 00:00:00+00:00,551
2023-12-09 00:00:00+00:00,553
2023-12-12 00:00:00+00:00,554
2023-12-18 00:00:00+00:00,555
2023-12-20 00:00:00+00:00,557
2023-12-21 00:00:00+00:00,558
2023-12-23 00:00:00+00:00,559
2023-12-24 00:00:00+00:00,560
2023-12-28 00:00:00+00:00,561
2023-12-30 00:00:00+00:00,562
2024-01-03 00:00:00+00:00,563
2024-01-04 00:00:00+00:00,564
2024-01-05 00:00:00+00:00,566
2024-01-07 00:00:00+00:00,567
2024-01-09 00:00:00+00:00,568
2024-01-10 00:00:00+00:00,569
2024-01-12 00:00:00+00:00,570
2024-01-17 00:00:00+00:00,571
2024-01-19 00:00:00+00:00,573
2024-01-20 00:00:00+00:00,574
2024-01-22 00:00:00+00:00,575
2024-01-24 00:00:00+00:00,578
2024-01-25 00:00:00+00:00,579
2024-01-26 00:00:00+00:00,581
2024-01-27 00:00:00+00:00,582
2024-01-28 00:00:00+00:00,583
2024-01-31 00:00:00+00:00,584
2024-02-01 00:00:00+00:00,585
2024-02-02 00:00:00+00:00,586
2024-02-04 00:00:00+00:00,588
2024-02-06 00:00:00+00:00,591
2024-02-12 00:00:00+00:00,592
2024-02-13 00:00:00+00:00,593
2024-02-15 00:00:00+00:00,595
2024-02-17 00:00:00+00:00,597
2024-02-20 00:00:00+00:00,598
2024-02-21 00:00:00+00:00,599
2024-02-22 00:00:00+00:00,601
2024-02-26 00:00:00+00:00,602
2024-02-27 00:00:00+00:00,604
2024-02-28 00:00:00+00:00,605
2024-03-03 00:00:00+00:00,606
2024-03-04 00:00:00+00:00,607
2024-03-05 00:00:00+00:00,608
2024-03-06 00:00:00+00:00,609
2024-03-07 00:00:00+00:00,610
2024-03-08 00:00:00+00:00,611
2024-03-12 00:00:00+00:00,612
2024-03-13 00:00:00+00:00,613
2024-03-15 00:00:00+00:00,614
2024-03-18 00:00:00+00:00,615
2024-03-20 00:00:00+00:00,617
2024-03-21 00:00:00+00:00,618
2024-03-23 00:00:00+00:00,619
2024-03-25 00:00:00+00:00,620
2024-03-26 00:00:00+00:00,621
2024-03-27 00:00:00+00:00,622
2024-04-01 00:00:00+00:00,623
2024-04-04 00:00:00+00:00,625
2024-04-08 00:00:00+00:00,626
2024-04-09 00:00:00+00:00,627
2024-04-11 00:00:00+00:00,628
2024-04-13 00:00:00+00:00,630
2024-04-15 00:00:00+00:00,631
2024-04-16 00:00:00+00:00,632
2024-04-17 00:00:00+00:00,634
2024-04-19 00:00:00+00:00,636
2024-04-22 00:00:00+00:00,638
2024-04-23 00:00:00+00:00,639
2024-04-24 00:00:00+00:00,640
2024-04-25 00:00:00+00:00,643
2024-04-26 00:00:00+00:00,644
2024-04-27 00:00:00+00:00,645
2024-04-28 00:00:00+00:00,646
2024-04-29 00:00:00+00:00,647
2024-04-30 00:00:00+00:00,649
2024-05-06 00:00:00+00:00,651
2024-05-07 00:00:00+00:00,653
2024-05-10 00:00:00+00:00,654
2024-05-13 00:00:00+00:00,655
2024-05-14 00:00:00+00:00,656
2024-05-16 00:00:00+00:00,657
2024-05-17 00:00:00+00:00,659
2024-05-19 00:00:00+00:00,660
2024-05-20 00:00:00+00:00,661
2024-05-23 00:00:00+00:00,662
2024-05-24 00:00:00+00:00,664
2024-05-26 00:00:00+00:00,665
2024-05-27 00:00:00+00:00,666
2024-05-28 00:00:00+00:00,668
2024-05-29 00:00:00+00:00,669
2024-05-30 00:00:00+00:00,672
2024-05-31 00:00:00+00:00,674
2024-06-03 00:00:00+00:00,676
2024-06-05 00:00:00+00:00,677
2024-06-06 00:00:00+00:00,678
2024-06-12 00:00:00+00:00,679
2024-06-14 00:00:00+00:00,681
2024-06-15 00:00:00+00:00,682
2024-06-17 00:00:00+00:00,683
2024-06-20 00:00:00+00:00,686
2024-06-21 00:00:00+00:00,687
2024-06-22 00:00:00+00:00,689
2024-06-24 00:00:00+00:00,690
2024-06-25 00:00:00+00:00,691
2024-06-26 00:00:00+00:00,692
2024-07-01 00:00:00+00:00,694
2024-07-02 00:00:00+00:00,697
2024-07-03 00:00:00+00:00,698
2024-07-04 00:00:00+00:00,700
2024-07-06 00:00:00+00:00,702
2024-07-10 00:00:00+00:00,703
2024-07-17 00:00:00+00:00,705
2024-07-18 00:00:00+00:00,706
2024-07-19 00:00:00+00:00,707
2024-07-20 00:00:00+00:00,708
2024-07-21 00:00:00+00:00,709
2024-07-22 00:00:00+00:00,711
2024-07-23 00:00:00+00:00,712
2024-07-25 00:00:00+00:00,713
2024-07-27 00:00:00+00:00,714
2024-07-29 00:00:00+00:00,715
2024-08-01 00:00:00+00:00,716
2024-08-02 00:00:00+00:00,719
2024-08-06 00:00:00+00:00,720
2024-08-08 00:00:00+00:00,721
2024-08-13 00:00:00+00:00,722
2024-08-14 00:00:00+00:00,723
2024-08-16 00:00:00+00:00,724
2024-08-20 00:00:00+00:00,725
2024-08-21 00:00:00+00:00,727
2024-08-26 00:00:00+00:00,728
2024-09-03 00:00:00+00:00,730
2024-09-05 00:00:00+00:00,731
2024-09-07 00:00:00+00:00,732
2024-09-10 00:00:00+00:00,735
2024-09-19 00:00:00+00:00,736
2024-09-20 00:00:00+00:00,737
2024-09-21 00:00:00+00:00,738
2024-09-22 00:00:00+00:00,739
2024-09-28 00:00:00+00:00,740
2024-09-30 00:00:00+00:00,741
2024-10-01 00:00:00+00:00,742
2024-10-02 00:00:00+00:00,744
2024-10-08 00:00:00+00:00,745
2024-10-10 00:00:00+00:00,746
2024-10-12 00:00:00+00:00,747
2024-10-13 00:00:00+00:00,748
2024-10-16 00:00:00+00:00,750
2024-10-18 00:00:00+00:00,751
2024-10-26 00:00:00+00:00,752
2024-10-28 00:00:00+00:00,753
2024-10-29 00:00:00+00:00,755
2024-10-31 00:00:00+00:00,757
2024-11-07 00:00:00+00:00,758
2024-11-10 00:00:00+00:00,760
2024-11-12 00:00:00+00:00,761
2024-11-18 00:00:00+00:00,763
2024-11-25 00:00:00+00:00,764
2024-11-27 00:00:00+00:00,765
2024-11-28 00:00:00+00:00,766
2024-11-30 00:00:00+00:00,767
2024-12-05 00:00:00+00:00,768
2024-12-06 00:00:00+00:00,769
2024-12-09 00:00:00+00:00,771
2024-12-10 00:00:00+00:00,773
2024-12-15 00:00:00+00:00,774
2024-12-16 00:00:00+00:00,776
2024-12-20 00:00:00+00:00,777
2024-12-23 00:00:00+00:00,779
2025-01-01 00:00:00+00:00,780
2025-01-04 00:00:00+00:00,782
2025-01-09 00:00:00+00:00,783
2025-01-10 00:00:00+00:00,785
2025-01-16 00:00:00+00:00,787
2025-01-19 00:00:00+00:00,788
2025-01-24 00:00:00+00:00,790
